"Soil_Data_ID","Event_ID","Date_SoilCollected","Sampling_Position","Earthworms","Sample_Type","Horizon_Type","Notes","Archived","Created_By","Created_Date","Updated_By","Updated_Date"
"98E4D5F6-A7B7-4D46-B45E-C5B8FF42E39C","BD6D4C28-ED60-46AE-BE60-83F3039DBB00",2011-06-07,"S1",NA,1,3,NA,FALSE,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-28 07:22:05,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-28 07:24:14
"99564BC8-D77F-4C4F-9C01-5950EEABD0CB","7B39A825-9765-4F73-BF3B-4F6661B36715",2011-06-07,"S1",NA,1,3,NA,FALSE,"{353252D0-B835-48BC-A821-80E2FA5A55C5}",2010-09-01 14:09:50,"{353252D0-B835-48BC-A821-80E2FA5A55C5}",2010-09-01 14:17:21
"998A8993-F991-4937-9900-8F6ABE7E0888","7DD8F872-7B39-4A45-BF5F-A1AE4AA03C67",2011-06-07,"S1",NA,1,1,NA,FALSE,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-28 07:50:03,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-28 07:54:01
"9AD32739-3143-4E41-8539-4B6C5EFFBC43","D0E68597-380E-433F-8D9C-FB3C9C574672",NA,NA,NA,NA,NA,"No soils collected at COLO",FALSE,NA,2012-08-22 08:54:24,NA,2012-08-22 08:54:24
"9B9DF25A-515E-44C8-AF98-2C331C2EF8C5","8A060FDA-5ECB-4380-95D7-AF3638DF9AEA",2013-09-11,"S2",NA,1,1,NA,FALSE,"{0880C00B-EF4A-43FD-9A3A-69C6B18A1D69}",2013-09-11 12:46:51,"{0880C00B-EF4A-43FD-9A3A-69C6B18A1D69}",2013-09-11 16:14:57
"9BAC4021-84E5-4804-BCD0-D3B4CBD0D02C","0386E054-B355-40C5-B1A4-1A45F8FBD82F",NA,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-08-12 09:56:36,"{85BD76BF-62E9-4003-9462-674AC570ABDD}",2019-09-04 17:40:04
"9C38F6B8-4803-4990-A4A2-3F56B1D14DA6","29395738-A8E6-423C-BF2C-6C4ED0C997E1",2011-06-07,"S1",NA,1,1,NA,FALSE,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2010-09-24 09:32:33,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2010-09-24 09:40:59
"9C883B7A-666B-436F-AC81-566AD252D63C","3FD9B07C-4314-4E88-8838-1E118BD06337",2013-07-24,"S2",NA,1,1,NA,FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2013-07-24 08:27:12,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2013-07-24 10:35:58
"9EAB8C7A-720C-41D5-B58A-D24A9563965E","7C48819A-6F84-4A77-AFE9-2B20CD4B197F",2012-08-01,"S2",NA,1,2,"Original 2011 soil samples lost.  Jim Comiskey resampled one year later.",FALSE,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2011-07-28 13:59:28,"{82BD4E92-4D30-461C-8C0E-800F9ED909CC}",2013-05-14 09:55:36
"9F0232F5-82FD-4AF0-8BB9-B843297A45E0","1B37D799-245D-4F6F-95EE-D69E757A2881",2012-08-13,"S2",NA,1,3,NA,FALSE,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-08-13 14:53:38,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-08-14 11:58:12
