"LabResult_ID","Soil_Data_ID","Unit_Code","Plot_Number","Sampling_Year","QA.QC","Layer","Date_SoilCollected","Date_Dry","UMO_Sample","soil.pH","X..LOI","X..TN","X..TC","Ca","K.Reported","K.Analysis","Mg","P.Reported","P.Analysis","Al.Reported","Al.Analysis","Fe.Reported","Fe.Analysis","Mn","Na.Reported","Na.Analysis","Zn.Reported","Zn.Analysis","acidity.Reported","acidity.Analysis","ECEC","Notes","Appended_Date","Appended_By"
"1EBD2365-C975-4FC6-8A41-D48E7E3C1984","35904A04-318D-4BED-970D-596851BE418B","FRSP","146","2012",FALSE,"O",2012-08-30,2012-09-17,"45",3.9,27.8,0.57,15.9,219,"182.75",183,134,"17.98",18,"315.2",315,"69.45",69,40,"8.04",8,"18",18.49,"8.296",8.3,11,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"1FA239FB-814F-478A-B02C-7D7E41C21A60","B3D80530-EC5D-4818-890E-63B642D6080D","PETE_EAST","301","2010",FALSE,"A",2010-09-13,2010-09-22,"74",4.84,1.4,0.02618,0.6364,14.76,"12.8",12.8,3.04,"< 1.0",1,"76.5",76.5,"2.58",2.58,0.44,"< 1.0",1,"0.42",0.42,"1.188",1.188,NA,NA,2011-06-07 10:38:37,NA
"209D1F44-DF13-4BC5-9A93-8C4A05ECE383","687ACF23-5884-4745-BFEA-951B95DBD93C","PETE","137","2012",FALSE,"10 cm",2012-09-12,2012-09-27,"110",4,4,0.11,2.02,107,"42.14",42,27,"2.142",2.1,"115.48",115,"18.278",18,5.8,"3.464",3.5,"1.6",1.618,"2.5376",2.5,3.4,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"2134100D-8A7B-4804-954B-97CC3E706A25","A5FFC8BF-56FC-488A-9E1E-CBF92FAEBFA4","HOFU","248","2010",FALSE,"10cm",2010-08-05,2010-08-24,"12",4.35,8.7,0.2524,4.386,139.02,"84.18",84.18,25.32,"1.84",1.84,"260.42",260.42,"5.46",5.46,83.78,"5.02",5.02,"3.98",3.98,"3.762",3.762,NA,NA,2011-06-07 10:38:37,NA
"2164352B-9BBE-4187-89A0-46899C8714F4","FD11D634-0BE1-4773-A0BF-9A9ABA2BF0BD","FRSP_SPOT","319","2010",FALSE,"A",2010-09-22,2010-09-23,"104",5.04,3.7,0.06919,1.287,91.22,"34.32",34.32,19.28,"4",4,"93.28",93.28,"2.74",2.74,31.2,"4.34",4.34,"0.84",0.84,"1.584",1.584,NA,NA,2011-06-07 10:38:37,NA
"2170D01F-EA68-49C5-A0C4-8F8AF23952CA","AA92386A-5EA8-4C1B-8A0D-A5C881B2014D","PETE_FIVE","270","2010",FALSE,"10cm",2010-08-19,2010-08-31,"34",4.6,7,0.1227,2.687,85.24,"51.34",51.34,18.9,"2",2,"192.16",192.16,"4.84",4.84,13.06,"8.82",8.82,"0.68",0.68,"2.772",2.772,NA,NA,2011-06-07 10:38:37,NA
"21782F74-DFF0-4C69-88D5-EFBE117B45F6","571AC354-08EF-4D7D-9F87-86803250B23B","PETE","194","2013",FALSE,"A",2013-09-11,2013-09-16,"71",4.3,3.2,0.067,2.021,81.86,"55.66",55.66,16.96,"2.206",2.206,"77.34",77.34,"9.688",9.688,12.802,"6.49",6.49,"0.418",0.418,"1.6",1.6,2.31945880984707,NA,2014-11-27 07:42:43,"Jim A Comiskey"
"2209254D-0206-4443-B8BF-91796D8EC1E4","80C794D2-D88F-4EF9-B8A6-CDECFAA69A63","FRSP","150","2012",FALSE,"A",2012-08-30,2012-09-27,"51",4.4,9.3,0.2,3.39,276,"116.14",116,98,"2.612",2.6,"195.22",195,"4.45",4.5,44,"3.168",3.2,"3.3",3.282,"4.0992",4.1,6.6,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"22842C3F-235A-4926-A88E-430FE5E318EA","EACBAD2B-F6BF-4F25-94E8-542E300136DA","THST","325","2011",FALSE,"10 cm",2011-09-19,2011-09-22,"98",5.38,11.8,0.3634,6.037,1418.8,"224.8",224.8,205.6,"4.242",4.242,"33",33,"3.362",3.362,49.48,"4.162",4.162,"3.096",3.096,"0.396",0.395999999999998,9.77521278351383,NA,2012-04-10 00:00:00,NA
"2467ED00-C05D-41EE-97E8-4D38245F0490","056B256D-EF38-42DB-AE3A-6AB7965C56A0","THST","132","2012",FALSE,"10 cm",2012-09-06,2012-09-17,"127",4.1,6.1,0.18,3.09,248,"66.98",67,54,"6.572",6.6,"154.46",154,"30.06",30,9.4,"3.486",3.5,"1.7",1.742,"3.3184",3.3,5.2,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"24789783-DE39-4C1B-86F8-7E64A2D7D8D4","D4B9898E-C600-4912-B58C-11CD5937C88F","RICH","311","2010",FALSE,"O",2010-09-15,2010-09-22,"89",4.18,NA,0.4513,12.42,378.65,"106.15",106.15,92.05,"12.85",12.85,"279.1",279.1,"26.6",26.6,94.3,"14",14,"5.95",5.95,"7.425",7.42499999999999,NA,NA,2011-06-07 10:38:37,NA
